X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.134268012345,47.3564706020897,1,1200005,0000000,120,Cemetery-K. Kangley & 156th SE,Cemetery-K. Kangley & 156th SE,Kent Kangley Rd & 156th Ave SE,98042
-122.283495987631,47.4077655301343,2,6004550,0000000,600,Robert Morris Earthworks Park,Robert Morris Earthworks Park,21600 40th Ave S,98188
-122.270568666565,47.4136989714384,3,6006962,0000000,600,Valley Floor Community Park,Valley Floor Community Park,21601 Frager Rd S,98032
-122.241581031588,47.383897746241,4,6007286,0000000,600,Kent Lions Skate Park,Kent Lions Skate Park,West Smith Street and Interurban Trail,98032
-122.232672392765,47.382435347989,5,407,0000000,600,Burlington Green Park,Burlington Green Park,W Smith St & N Railroad Ave,98054
-122.227844773374,47.3809623450292,6,6007298,0000000,600,Gowe St Park,Gowe St Park,Gowe St & Kennebeck Ave S,98032
-122.316066117258,47.495031844316,7,1285,0000000,600,Southern Heights Park,Southern Heights Park,S 120th St & 14th Ave S,98168
-122.240309323419,47.3689798964634,8,6002977,0000000,600,Interurban Trail Site - Kent,Interurban Trail Site - Kent,74th Ave S and S 180th St to 76th Ave S and S 277th St,98032
-122.347038066323,47.6351407225354,9,6007007,0000000,600,Trolley Hill Park,Trolley Hill Park,5th Ave N and Blaine St,98109
-122.295900951317,47.4877643485797,10,1645,735824,330,Highline Medical Center Speciality Campus,Highline Medical Center Specialty Center,12844 Military Rd S,98168
-122.329138039078,47.6041652687345,11,1713,834653,61,Seattle Municipal Court,Seattle Municipal Court,600 5th Ave,98104
-122.303049055525,47.3145015144024,12,2673,868245,330,UW Clinic Federal Way,UW Clinic Federal Way,32018 23rd Ave S,98003
-122.319453117566,47.4053833692729,13,650043,380127,65,Des Moines Police Department,Des Moines PD,21900 11th Ave S,98198
-121.994158027475,47.1986828162114,14,6004414,853422,600,Veterans Triangle Park,Veterans Triangle Park,907 Cole St,98022
-122.323768793336,47.7082484904329,15,1732,839232,60,Northgate Plaza,Northgate Plaza,120 Northgate Plaza,98125
-122.339496689645,47.6078260440183,16,600057,840416,60,"98 Union Bldg, South Arcade",98 Union,98 Union St,98101
-122.247679918494,47.2649117989445,17,650060,729218,65,Pacific Police Department,Pacific PD,133 3rd Ave SE,98047
-122.233662316805,47.376880943865,18,423,0000000,600,Kiwanis Park S 1st,Kiwanis Park S 1st,S 1st St & Crow St,98032
-122.357088610241,47.6262117624374,19,6007147,0000000,600,Kinnear Place,Kinnear Place,Queen Anne Ave and W QA Dr,98119
-122.380438314496,47.7043340716778,20,6007084,0000000,600,Blue Ridge Circle,Blue Ridge Circle,NW Blue Ridge Dr and NW Roundhill,98177
-122.322471189411,47.6539383100656,21,6006985,0000000,600,North Passage Point Park,North Passage Point Park,600 NE Northlake Way,98105
-122.325454819422,47.4071229232835,22,6005308,0000000,600,Big Catch Plaza,Big Catch Plaza,32nd Ave E and E John St,00000
-122.161599800427,47.2920013830614,23,6002385,0000000,600,Neely Bridge Natural Area,Neely Bridge Natural Area,133rd Ave SE and SE 342nd St,98092
-122.187958803101,47.4827782160419,24,710,0000000,120,Mount Olivet Cemetery,Mount Olivet Cemetery,100 Blaine Ave NE,98056
-122.358901367634,47.2978779078172,25,10001173,706653,695,Fred Meyer,Fred Meyer,33702 21ST AVE SW,98023
-122.012989050614,47.3377457765776,26,6003030,0000000,600,Black Diamond Natural Area,Black Diamond Natural Area,Maple Valley Black Diamond Rd & 241st Ave SE,98010
-122.281753234976,47.77994257328,27,1944,0000000,120,Abbey View Memorial Cemetery,Abbey View Memorial Cemetery,3600 Alaska Rd,98036
-122.139471573797,47.6520435266207,28,1728,354458,420,Nintendo of America,Nintendo of America,4820 150th Ave NE,98052
-122.238531573395,47.6179242670861,29,2425,118114,64,Medina Post Office,Medina Post Office,816 Evergreen Point Rd,98039
-122.329880718433,47.6050073744875,30,2189,834656,60,Key Tower,Key Tower,700 5th Ave,98104
-122.201279186411,47.7602940757504,31,259,0000000,150,Northshore Chamber of Commerce,Northshore CC,10410 Beardslee Blvd,98011
-122.310733652126,47.6410683849235,32,2728,430253,600,Montlake Community Center,Montlake CC,1618 E Calhoun St,98112
-122.165677086888,47.4497305146852,33,741,0000000,600,Renton Park,Renton Park,130th Ave SE & SE 172nd St,98058
-122.36661726268,47.5715337633738,34,570096,0000000,570,SW Spokane St P&R,SW Spokane St P&R,3599 26th Ave SW,98126
-122.333052693685,47.6084200275881,35,1653,834663,60,IBM Office Bldg,IBM Office Bldg,1200 5th Ave,98101
-122.358658714062,47.5396092318084,36,890,479979,660,Sanislo Elementary School,Sanislo,1812 SW Myrtle St,98106
-122.365598538347,47.6405159394934,37,1042,835401,660,Coe Elementary School,Coe,2424 7th Ave W,98119
-122.312256187655,47.3632296563892,38,448,387264,660,Woodmont K-8 School,Woodmont K-8,26454 16th Ave S,98198
-122.305300860537,47.6215993017475,39,941,447925,661,Meany Middle School,Meany,301 21st Ave E,98112
-122.295910931095,47.5380926953595,40,1179,461331,660,Kimball Elementary School,Kimball ,7201 Beacon Ave S,98108
-122.060510279942,47.6681381694356,41,650,12140,661,Evergreen Middle School,Evergreen,6900 208th Ave NE,98053
-122.290948557896,47.6967307861488,42,660149,252923,66,Station 40,40,9401 35th Ave NE,98115
-121.931427342039,47.5311569221293,43,1973,0000000,120,Preston Cemetary,Preston Cemetary,7900 308th Ave SE,98027
-122.390664661468,47.630305970949,44,2333,759580,630,Elliott Bay Marina,Elliott Bay Marina,2601 W Marina Pl,98199
-122.311380805476,47.7765356958057,45,1218,0000000,690,Ballinger Terrace,Ballinger Terrace,NE Ballinger Way & SW 244th St,98155
-122.179248026611,47.67657527802,46,464,38032,120,Kirkland Cemetery,Kirkland Cemetery,12036 NE 80th St & 120th Ave,98033
-122.253499406969,47.6747806852668,47,967,0000000,600,Magnuson Park,Magnuson Park,Sand Point Way NE & Park Entrance,00000
-122.339216126816,47.6057593057304,48,1447,840829,60,1201 Western Bldg,1201 Western Bldg,1201 Western Ave,98101
-122.180339737525,47.3912059420392,49,384,8581,661,Meridian Middle School,Meridian,23480 120th Ave SE,98031
-122.375613353468,47.6714296595068,50,902,751094,664,St. Alphonsus School,St. Alphonsus,5816 15th Ave NW,98107
-122.03403380269,47.6977069926544,51,6005359,0000000,600,Redmond Ridge Trail Site,Redmond Ridge Trail Site,NE Alder Crest Way & 231st Way NE,98053
-121.638816874347,47.4926797385682,52,6002983,0000000,600,Middle Fork Snoqualmie Natural Area,Middle Fork Snoqualmie Natural Area,SE Middle Fork Rd and SE 116th St,98045
-122.417174249092,47.5723183164112,53,6007187,0000000,600,Charles Richey Sr Viewpoint,Charles Richey Sr Viewpoint,63rd Ave SW and Beach Dr. SW,98116
-122.40194865318,47.3112131059568,54,317,0000000,600,Dash Point Highlands Park,Dash Point Highlands Park,SW 324th Pl & 53rd Pl SW,98023
-122.286779700529,47.6181071481748,55,1063,924116,660,Epiphany School,Epiphany,3611 E Denny Way,98122
-122.33989443123,47.6599214367307,56,6600701,746393,664,Cascadia Elementary School,Cascadia,4400 Interlake Ave N,98103
-122.025579351577,47.3516098801445,57,6600555,665240,660,Glacier Park Elementary School,Glacier Park,23700 SE 280th St,98038
-122.020894353226,47.6287194904844,58,648,12218,660,Christa McAuliffe Elementary School,McAuliffe,23823 NE 22nd St,98074
-122.317506999722,47.6410241326585,59,834,759081,662,Seattle Preparatory School,Seattle Prep ,2400 11th Ave E,98102
-122.328909495727,47.6763537054301,60,845,12303,660,Green Lake Elementary School,Green Lake,2400 N 65th St,98103
-122.302980303367,47.7364251564714,61,1241,16168,666,Shoreline Christian School,Shoreline Christian,2400 NE 147th St,98155
-122.300867371047,47.6083496871426,62,2352,433942,664,Nova High School,Nova,2410 E Cherry St,98122
-121.94176747474,47.6399677955425,63,6004883,0000000,600,Ames Lake Forest,Ames Lake Forest,3800 290th Way NE,98053
-121.702018458979,47.1552665959654,64,6002767,0000000,600,Federation Forest State Park,Federation Forest State Park,3800 290th Way NE,00000
-122.340732684637,47.6166930851489,65,1868,835369,360,Towne Motor Hotel,Towne Motor H,7th Ave & Blanchard St,98121
-122.180855985796,47.3523112798058,66,6007282,0000000,600,Green View Park,Green View Park,120th Place SE & SE 277th Place,98030
-122.1893914912,47.7466464214356,67,247,174576,666,Cedar Park Christian School,Cedar Park Christian,16300 112th Ave NE,98011
-122.108506696178,47.7274383511523,68,642,21190,660,Sunrise Elementary School,Sunrise,14075 172nd Ave NE,98052
-122.120819884984,47.6305888796614,69,227,68,660,Sherwood Forest Elementary School,Sherwood Forest,16411 NE 24th St,98008
-122.364586762349,47.6398583440473,70,10001174,424959,695,Ken's Market,Ken's Market,2400 6TH AVE W,98119
-122.358848078795,47.6918967182052,71,10001175,835484,695,Fred Meyer,Fred Meyer,100 NW 85TH ST,98117
-122.229426387067,47.3836448301429,72,10001176,616307,695,La Huerta International Market,La Huerta International Market,403 E SMITH ST,98030
-122.230188231579,47.3812689506719,73,10001177,616979,695,Hong Kong Market,Hong Kong Market,320 E MEEKER ST,98030
-122.179665931551,47.7117397647525,74,10001178,1210476,695,Whole Foods Market,Whole Foods Market,12501 120TH AVE NE,98034
-122.284478136001,47.6761530823534,75,10001180,343207,695,PCC Community Markets,PCC,6514 40TH AVE NE,98115
-122.314564827492,47.2931143009742,76,10001181,982982,695,Euro Food & Deli,Euro Food & Deli,1505 S 344TH ST,98003
-122.161336252597,47.4898849699666,77,10001183,582035,695,Safeway,Safeway,4300 NE 4TH ST,98059
-122.33993046002,47.6162548268502,78,10001184,1166450,695,Amazon Go,Amazon Go,2131 7TH AVE,98121
-122.361825641386,47.2996987808158,79,10001185,705474,695,Safeway,Safeway,2109 SW 336TH ST,98023
-122.326555516503,47.6170230194112,80,10001188,438459,695,City Market,City Market,1722 BELLEVUE AVE,98122
-122.025909526919,47.6986250203606,81,10001189,361953,695,QFC,QFC,23475 NE NOVELTY HILL RD,98053
-122.019611408832,47.5413720391138,82,10001191,1012176,695,Safeway,Safeway,1451 HIGHLANDS DR NE,98029
-122.318603043211,47.5995294587043,83,10001192,790306,695,Viet Wah Supermarket,Viet Wah Supermarket,1032 S JACKSON ST,98104
-121.780482524468,47.4933895520008,84,10001193,25897,695,QFC,QFC,460 E NORTH BEND WAY,98045
-122.316311690348,47.5980773733258,85,10001194,452766,695,Lam's Seafood Market,Lam's Seafood Market,1221 S KING ST,98144
-122.316841533513,47.5985877502316,86,10001195,452358,695,Hau Hau Market,Hau Hau Market,412 12TH AVE S,98144
-122.31936979842,47.5986521292214,87,10001196,434439,695,Dong Hing Market,Dong Hing Market,1001 S JACKSON ST,98104
-122.397879128355,47.6424625051289,88,10001197,419581,695,Albertsons,Albertsons,2550 32ND AVE W,98199
-122.28596730318,47.54759215616,89,10001198,490548,695,Island Pacific,Island Pacific,6008 MARTIN LUTHER KING JR WAY S,98118
-122.283624663472,47.6681771197144,90,10001202,349348,695,Metropolitan Market,Metropolitan Market,5250 40TH AVE NE,98105
-122.354697987871,47.5091871182277,91,10001291,513497,695,Castillos Supermarkets,Castillos,10426 16TH AVE SW,98146
-122.033811249289,47.6152673044133,92,10001292,374939,695,Safeway,Safeway,630 228TH AVE NE,98074
-122.283112934604,47.5393150496526,93,10001293,497184,695,Ba Mien Seafood Market,Ba Mien Seafood Market,6951 MARTIN LUTHER KING JR WAY S,98118
-122.182576164028,47.6159771223855,94,10001294,760582,695,Uwajimaya,Uwajimaya,699 120TH AVE NE,98005
-122.184990659872,47.612723425793,95,10001295,1351461,695,PCC Community Markets,PCC,11615 NE 4TH ST,98004
-121.86086710739,47.3147937156325,96,6004663,0000000,600,Kanaskat Natural Area,Kanaskat Natural Area,SE 312th St & 348th Ave SE,98051
-121.890415939628,47.5702395634815,97,337,0000000,600,Fall City Riverfront Park,Fall City Riverfront Park,Fall City Carnation Rd SE,98024
-121.875913951278,47.535912112854,98,6005167,0000000,600,Hoff Park,Hoff Park,7227 SE Hoff St.,98065
-122.324593040632,47.6866602306546,99,6007228,0000000,600,Banner Way Triangles,Banner Way Triangles,Banner Way NE and 5th Ave NE,98115
-122.347699790389,47.6779909608757,100,6007004,0000000,600,Linden Orchard Park,Linden Orchard Park,N 67th St and Linden Ave N,98103
-122.32014616152,47.6438860608715,101,833,0000000,600,Roanoke Park - Seattle,Roanoke Park,E Roanoke St & 10th Av E,98102
-122.321984100878,47.6311007362564,102,6007127,0000000,600,St. Marks Greenbelt,St. Marks Greenbelt,1500 Lakeview Blvd E,98102
-122.133684263335,47.3571079096304,103,1977,0000000,120,Meridian Cemetery,Meridian Cemetery,SE 273rd St & 156th Av SE,98042
