X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
-122.295501465108,47.3956184531215,1,350001,0,350,La Familia,La Familia,22855 PACIFIC HWY S,98198,Des Moines,(206) 683-4400,Seating 51-150,III, , , , ," 
"
-122.29641473029,47.6623109194404,2,350003,0,350,#807 Tutta Bella,#807 Tutta Bella,2746 NE 45TH ST,98105,Seattle,(206) 722-6400,Seating 0-12,III, , , , ," 
"
-122.331591329234,47.595439959196,3,350004,0,350,"Levy Restaurants @ Lumen Field (Cart #9; Kc919)",Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8310,Mobile Food Unit,I, , , , ," 
"
-122.166748662391,47.3584858803202,4,350005,0,350,Taqueria El Rebano,Taqueria El Rebano,720 WASHINGTON AVE N APT #108,98032,Kent,(206) 501-6878,Mobile Food Unit,III, , , , ," 
"
-122.208617821428,47.7619672388641,5,350006,0,350,Pinkabella Cupcakes,Pinkabella Cupcakes,9924 NE 185TH ST STE 106,98011,Bothell,(206) 465-8990,Seating 13-50,II, , , , ," 
"
-122.331726941963,47.629021289475,6,350008,0,350,100 Lb Clam,100 Lb Clam,1001 FAIRVIEW AVE N Unit 1700A,98109,Seattle,(206) 369-2978,Seating 0-12,III, , , , ," 
"
-122.169114028107,47.4887972694767,7,350009,0,350,100 Percent Nutricion,100 Percent Nutricion,3700 NE 4TH ST,98056,Renton,(206) 432-7381,Seating 0-12,I, , , , ," 
"
-122.338222978317,47.6065393790631,8,350010,0,350,1000 Spirits,1000 Spirits,1225 1ST AVE,98101,Seattle,(206) 612-2660,Seating 51-150,III, , , , ," 
"
-122.213939000112,47.4760119993667,9,350011,0,350,101 Grocery,101 Grocery,536 RAINIER AVE S,98057,Renton,(253) 740-1210,Grocery Store-no seating,I, , , , ," 
"
-122.341269258362,47.6291294289354,10,350012,0,350,1101 Westlake Ave N 2Nd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
-122.341269258362,47.6291294289354,11,350013,0,350,1101 Westlake Ave N 3Rd Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
-122.341269258362,47.6291294289354,12,350014,0,350,1101 Westlake Ave N 4Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
-122.341269258362,47.6291294289354,13,350015,0,350,1101 Westlake Ave N 5Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
-122.341269258362,47.6291294289354,14,350016,0,350,1101 Westlake Ave N 6Th Floor,Facebook Inc,1101 WESTLAKE AVE N,98109,Seattle,(650) 507-5669,Grocery Store-no seating,I, , , , ," 
"
