FULLNAME,TITLE,THEME,UPDATEFREQ,FIRSTADDED_OPENDATA,LASTPOSTED_SDW,WHENREFRESHED_OPENDATA,SHAPEFILE
ProjectExtent2019_ByResolution,Title not available,outsideplibrary,Update Frequency not available,20190703,99999999,20190703,NULL
aarroutes_line,Adopt-a-Road Routes,transportation,Daily,20171107,20220314,20220316,YES
acs_b00001_popcount,2014-2018 ACS: Unweighted Sample Count Population (Based on 2010 Census Tracts),census,None planned,20180214,20201020,20180214,YES
acs_b00002_hsingcount,2014-2018 ACS: Unweighted Sample Count Housing Units (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b01001_sexbyage,2014-2018 ACS: Sex By Age (Based on 2010 Census Tracts),census,None planned,20180214,20201020,20180214,YES
acs_b01002_medianagebysex,2014-2018 ACS: Median Age By Sex (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b01003_totalpop,2014-2018 ACS: Total Population (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b02001_race,2014-2018 ACS: Race (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b03002_hispanicbyrace,2014-2018 ACS: Hispanic Or Latino Origin By Race (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b04004_totalancestry,2014-2018 ACS: Total People Reporting Single Ancestry (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b05001_citizenshipstatus,2014-2018 ACS: Nativity And Citizenship Status In The United States (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b05002_birthplace,2014-2018 ACS: Place Of Birth By Nativity And Citizenship Status (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b05005_yrentrycitizenship,2014-2018 ACS: Year Of Entry By Nativity And Citizenship Status In The United States (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b05006_birthplaceforeignborn,2014-2018 ACS: Place Of Birth For The Foreign-Born Population In The United States (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b05008_sexbirthplaceyrentry,2014-2018 ACS: Sex By Place Of Birth By Year Of Entry For The Foreign-Born Population (Based on 2010 Census Tracts),census,None planned,20180216,20201020,20180214,YES
acs_b06001_agebirthplaceus,2014-2018 ACS: Place Of Birth By Age In The United States (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b07003_sexgeographicmobility,2014-2018 ACS: Geographical Mobility In The Past Year By Sex For Current Residence In The United States (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b07204_geographicmobility,2014-2018 ACS: Geographical Mobility In The Past Year For Current Residence--State; County And Place Level In The United States (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08006_sextransportwork,2014-2018 ACS: Sex Of Workers By Means Of Transportation To Work (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08007_sexplaceworkplstateco,2014-2018 ACS: Sex Of Workers By Place Of Work--State And County Level (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08008_sexplaceworkplplace,2014-2018 ACS: Sex Of Workers By Place Of Work--Place Level (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08101_agetransportwork,2014-2018 ACS: Means Of Transportation To Work By Age (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08201_householdvehicles,2014-2018 ACS: Household Size By Vehicles Available (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08202_householdworkers,2014-2018 ACS: Household Size By Number Of Workers In Household (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08301_transportation,2014-2018 ACS: Means Of Transportation To Work (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b08303_traveltime,2014-2018 ACS: Travel Time To Work (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b09001_popunder18,2014-2018 ACS: Population Under 18 Years Of Age (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b09002_familyownchildrenunder18,2014-2018 ACS: Own Children Under 18 Years By Family Type And Age (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b09018_relationhousehold,2014-2018 ACS: Relationship To Householder For Children Under 18 Years In Households (Based on 2010 Census Tracts),census,None planned,20180220,20201020,20180214,YES
acs_b09019_relationhsehldtype,2014-2018 ACS: Household Type (Including Living Alone) By Relationship (Based on 2010 Census Tracts),census,None planned,20180221,20201020,20180214,YES
acs_b09020_relhsdtypeovr65,2014-2018 ACS: Relationship By Household Type (Including Living Alone) For The Population 65 Years And Over (Based on 2010 Census Tracts),census,None planned,20180221,20201020,20180214,YES
acs_b11001_householdtype,2014-2018 ACS: Household Type (Including Living Alone) (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b12001_sexmaritalstatus,2014-2018 ACS: Sex By Marital Status For The Population 15 Years And Over (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b14001_schoolenrollment,Title not available,census,Update Frequency not available,20180301,20201020,20180214,YES
acs_b15002_sexeducationalattainment,2014-2018 ACS: Sex By Educational Attainment For The Population 25 Years And Over (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b16005_nativitybylanguage,2014-2018 ACS: Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b17001_povertystatus,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b17001a_povertysexagewhite,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone) (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b17001b_povertysexageblack,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Black Or African American Alone) (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b17001c_povertysexageamerind,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),census,None planned,20180301,20201020,20180214,YES
acs_b17001d_povertysexageasian,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001e_povertysexagehawaiianpi,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001f_povertysexageotherrace,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001g_povertysexage2races,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001h_povertysexagewhnothisp,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001i_povertysexagehispanic,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
