SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,CurrentSchoolType,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,All,All Students,5,SBAC,ELA,1234,1234,582,47.20%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,ELL,English Language Learners,5,SBAC,ELA,299,299,46,15.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,ELL,Non-English Language Learners,5,SBAC,ELA,935,935,536,57.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Foster,Foster Care,5,SBAC,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,FRL,Non-Low Income,5,SBAC,ELA,407,407,271,66.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,FRL,Low-Income,5,SBAC,ELA,827,827,311,37.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,homeless,Non-Homeless,5,SBAC,ELA,NULL,NULL,NULL,47.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Migrant,Migrant,5,SBAC,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Migrant,Non Migrant,5,SBAC,ELA,NULL,NULL,NULL,47.20%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Native Hawaiian/ Other Pacific Islander,5,SBAC,ELA,67,67,17,25.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Black/ African American,5,SBAC,ELA,110,110,41,37.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Asian,5,SBAC,ELA,139,139,86,61.90%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Hispanic/ Latino of any race(s),5,SBAC,ELA,415,415,156,37.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,s504,Section 504,5,SBAC,ELA,21,21,7,33.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,s504,Non Section 504,5,SBAC,ELA,1213,1213,575,47.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,SWD,Students with Disabilities,5,SBAC,ELA,137,137,24,17.50%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,All,All Students,5,SBAC,Math,1240,1240,466,37.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,ELL,Non-English Language Learners,5,SBAC,Math,937,937,428,45.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Foster,Foster Care,5,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Foster,Non-Foster Care,5,SBAC,Math,NULL,NULL,NULL,37.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,FRL,Non-Low Income,5,SBAC,Math,409,409,237,57.90%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,FRL,Low-Income,5,SBAC,Math,831,831,229,27.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Gender,Female,5,SBAC,Math,594,594,210,35.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Gender,Male,5,SBAC,Math,646,646,256,39.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,homeless,Homeless,5,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,homeless,Non-Homeless,5,SBAC,Math,NULL,NULL,NULL,37.80%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Migrant,Migrant,5,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Migrant,Non Migrant,5,SBAC,Math,NULL,NULL,NULL,37.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Military,Military Parent,5,SBAC,Math,17,17,8,47.10%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Military,Non Military Parent,5,SBAC,Math,1223,1223,458,37.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,American Indian/ Alaskan Native,5,SBAC,Math,20,20,3,15.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Native Hawaiian/ Other Pacific Islander,5,SBAC,Math,67,67,9,13.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Black/ African American,5,SBAC,Math,109,109,33,30.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,TwoorMoreRaces,5,SBAC,Math,131,131,52,39.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,,District Total,NULL,,Race,Asian,5,SBAC,Math,140,140,75,53.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,All,All Students,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,ELL,English Language Learners,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Foster,Non-Foster Care,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,FRL,Non-Low Income,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Gender,Female,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Gender,Male,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,homeless,Non-Homeless,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Migrant,Non Migrant,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Military,Non Military Parent,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,Asian,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,Black/ African American,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,SWD,Students with Disabilities,5,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,All,All Students,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,ELL,English Language Learners,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Foster,Non-Foster Care,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,FRL,Non-Low Income,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Gender,Female,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Gender,Male,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,homeless,Non-Homeless,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Migrant,Non Migrant,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,White,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,Black/ African American,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,Asian,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Race,Hispanic/ Latino of any race(s),5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,s504,Non Section 504,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,SWD,Students with Disabilities,5,AIM,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,All,All Students,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,ELL,English Language Learners,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,ELL,Non-English Language Learners,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Foster,Non-Foster Care,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,FRL,Low-Income,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,FRL,Non-Low Income,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Gender,Female,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,homeless,Non-Homeless,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17405,Bellevue School District,100019,,District Total,NULL,,Migrant,Non Migrant,5,AIM,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,White,8,SBAC,ELA,245,245,161,65.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,s504,Non Section 504,8,SBAC,ELA,318,318,191,60.10%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,SWD,Students with Disabilities,8,SBAC,ELA,50,50,17,34.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,All,All Students,8,SBAC,Math,333,333,142,42.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,ELL,English Language Learners,8,SBAC,Math,NULL,NULL,NULL,<10%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,ELL,Non-English Language Learners,8,SBAC,Math,NULL,NULL,NULL,44.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Foster,Non-Foster Care,8,SBAC,Math,333,333,142,42.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,FRL,Low-Income,8,SBAC,Math,112,112,38,33.90%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,FRL,Non-Low Income,8,SBAC,Math,221,221,104,47.10%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Gender,Male,8,SBAC,Math,164,164,63,38.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Gender,Female,8,SBAC,Math,169,169,79,46.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,homeless,Homeless,8,SBAC,Math,14,14,5,35.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Migrant,Non Migrant,8,SBAC,Math,333,333,142,42.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Military,Non Military Parent,8,SBAC,Math,NULL,NULL,NULL,42.60%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,Native Hawaiian/ Other Pacific Islander,8,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,Black/ African American,8,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,American Indian/ Alaskan Native,8,SBAC,Math,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,Hispanic/ Latino of any race(s),8,SBAC,Math,53,53,11,20.80%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,White,8,SBAC,Math,243,243,119,49.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,s504,Section 504,8,SBAC,Math,17,17,5,29.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,s504,Non Section 504,8,SBAC,Math,316,316,137,43.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,SWD,Students with Disabilities,8,SBAC,Math,50,50,6,12.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,All,All Students,8,WCAS,Science,335,335,182,54.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,ELL,Non-English Language Learners,8,WCAS,Science,NULL,NULL,NULL,55.70%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Foster,Non-Foster Care,8,WCAS,Science,335,335,182,54.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,FRL,Non-Low Income,8,WCAS,Science,221,221,135,61.10%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Gender,Male,8,WCAS,Science,165,165,91,55.20%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Gender,Female,8,WCAS,Science,170,170,91,53.50%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,homeless,Homeless,8,WCAS,Science,15,15,3,20.00%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Migrant,Non Migrant,8,WCAS,Science,335,335,182,54.30%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Military,Non Military Parent,8,WCAS,Science,NULL,NULL,NULL,54.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,Native Hawaiian/ Other Pacific Islander,8,WCAS,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,Black/ African American,8,WCAS,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,American Indian/ Alaskan Native,8,WCAS,Science,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17216,Enumclaw School District,100080,,District Total,NULL,,Race,TwoorMoreRaces,8,WCAS,Science,22,22,8,36.40%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,All,All Students,3,AIM,ELA,22,22,10,45.50%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,ELL,Non-English Language Learners,3,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,Foster,Foster Care,3,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,Foster,Non-Foster Care,3,AIM,ELA,NULL,NULL,NULL,42.90%
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,FRL,Non-Low Income,3,AIM,ELA,NULL,NULL,NULL,Suppressed: N<10
2021-22,District,King,Puget Sound Educational Service District 121,100006,17210,Federal Way School District,100086,,District Total,NULL,,FRL,Low-Income,3,AIM,ELA,NULL,NULL,NULL,35.70%
