OBJECTID,SCHDST,NAME,DSTNUM,Shape_Length,Shape_Area
1,1,Seattle,17001,435832.056887955,2570870909.37349
2,210,Federal Way,17210,174516.492001032,1002921114.76685
3,216,Enumclaw,17216,735641.958117012,12643705383.9976
4,400,Mercer Island,17400,77038.5188624386,175706121.159337
5,401,Highline,17401,162752.909598986,869350515.418451
6,402,Vashon Island,17402,273944.139334324,1018225264.99797
7,403,Renton,17403,206065.17104679,901395898.98369
8,404,Skykomish,17404,462386.816586246,10624629029.3244
9,405,Bellevue,17405,197777.252506905,933273070.435254
10,406,Tukwila,17406,79038.6818259739,155867523.266539
11,407,Riverview,17407,370932.834572257,4983022802.34637
12,408,Auburn,17408,250152.009411843,1572031545.28491
13,409,Tahoma,17409,434909.06666119,3385656760.65058
14,410,Snoqualmie Valley,17410,692777.174101613,10973356934.6924
15,411,Issaquah,17411,327163.134350761,2854883426.009
16,412,Shoreline,17412,90993.4404361404,427379126.760155
17,414,Lake Washington,17414,309878.307048642,1918889449.01975
18,415,Kent,17415,266382.33150325,1919031461.23367
19,417,Northshore,17417,188908.404351349,1062970095.57357
20,888,Fife,27417,36310.9484044014,47398845.003588
