,Coefficients,f_values,p_values
bedrooms,0.0018294742558080679,3057.6993671549244,0.0
bathrooms,0.04770712511398112,9828.901794628759,0.0
sqft_living,0.21036377586361257,12997.904556903432,0.0
sqft_lot,0.22421858217107288,1283.613709123208,4.689522073219902e-275
floors,0.015687380453409866,1300.969805547017,1.1527789093782786e-278
waterfront,0.055516964527294155,1579.146250969579,0.0
greenbelt,0.013544088545454275,151.8744730348021,8.265469316131073e-35
nuisance,-0.03262257906741564,2.4513520646214944,0.11743469921165652
view,0.07473849574384595,3404.8065021518787,0.0
condition,0.08468153429126413,5.764903729664576,0.01635569622813097
grade,0.14643204213606792,16232.903133570151,0.0
sqft_above,0.09736069367764529,8703.051267588615,0.0
sqft_basement,0.0015681554133012698,398.48711792813793,4.6545648825811514e-88
sqft_garage,0.022223204920070294,1974.6380655625899,0.0
sqft_patio,0.012792540319978035,2604.127384154317,0.0
yr_built,0.06673932845076194,334.09122508787686,3.2570238456810668e-74
lat,-0.12438603579073854,3108.9797775735897,0.0
long,0.11969781950651703,227.23553704755165,3.750335253742087e-51
renovated,0.0391036860550964,217.55009350476,4.681493158015535e-49
month,0.052953854376620535,100.96768545234599,1.0232704870236379e-23
year,0.16855513051041154,176.29496024947625,4.099503163371584e-40
percent_met_standard,183912133536.58047,6115.1893154628615,0.0
distance_to_amazon,0.13073979090326643,1571.0885400668508,0.0
distance_to_msft,0.08258538704853108,6480.290761694843,0.0
distance_to_wash,-0.7661156526311931,2487.754612087745,0.0
sewer_system_PRIVATE,-1018138112681.6346,17.787930206152446,2.4770059265313233e-05
sewer_system_PUBLIC,-1018138112681.5754,17.787930206152446,2.4770059265313233e-05
heat_source_Electricity,-237337097114.7577,456.60259530161863,1.600731240109944e-100
heat_source_Gas,-272327012548.25787,674.09054197688,6.396588455923858e-147
heat_source_Oil,-176032543552.48938,151.60807688603245,9.444633877845741e-35
heat_source_Solar_Other,-44997506063.20471,20.660102823956542,5.5070466984661355e-06
zip_98001,73088599701.88623,216.20976896416968,9.132113307739928e-49
zip_98002,43445285312.97875,200.83344805864618,1.9551992428658553e-45
zip_98003,61688508938.23018,158.60742034274764,2.8433698561980765e-36
zip_98004,-1999264517.582611,3143.5191727298406,0.0
zip_98005,-1495265329.2589722,286.0740890561238,7.267632246864737e-64
zip_98006,-2557067811.996765,442.7142433666809,1.5143805718852833e-97
zip_98007,-1395297546.2582092,18.29788057919716,1.8952740851573073e-05
zip_98008,-2227959818.9581833,98.9535617707537,2.819111208750093e-23
zip_98010,35809061465.52262,36.24032788111967,1.7653671779598208e-09
zip_98011,3052156858.1972275,2.913382934526438,0.08785823668679058
zip_98014,5780227764.500977,3.7829560257818993,0.051786855979714594
zip_98019,7273064473.96196,7.901808064192237,0.004941883727185107
zip_98022,29222599583.180244,139.74725340535542,3.5900572346577736e-32
